gene,replicate,treatment,time_point,k_on,k_off,k_syn,bf_point,bf_lower,bf_upper,bs_point,bs_lower,bs_upper,keep
ENSSSCG00000000033,1,unst,0,1.6583043850145904,1.9698004815794672,8.248060566023915,1.6583043850145904,1.394880908178028,1.9937888584988832,4.187256853247533,3.0579819376576745,5.6364053147965025,True
ENSSSCG00000000033,1,lps,2,1.8043853482562537,1.5694469240351658,7.188941826719386,1.8043853482562537,1.4259173201118966,2.3083671610198735,4.580557466853404,2.995614644481809,6.874398417636699,True
ENSSSCG00000000033,1,lps,4,4.995598853528056,59.41305788105393,45.43777304785274,,,,,,,False
ENSSSCG00000000033,1,lps,6,6.719320175669374,55.89285485525946,39.140173586103806,,,,,,,False
ENSSSCG00000000033,2,unst,0,2.2746287578722297,4.983806829828563,10.28326645735355,2.2746287578722297,1.7742222996452979,2.9975938569794187,2.0633356806301584,1.2712596815556367,3.1731701710918427,True
ENSSSCG00000000033,2,lps,2,4.4037264532634595,304.53923679539736,219.12888842867326,,,,,,,False
ENSSSCG00000000033,2,lps,4,3.6002802182306834,6.013832146956569,9.592556839990781,3.6002802182306834,2.4683479338417693,5.757284664456839,1.595082238011133,0.6726304826091407,3.1752619355660943,True
ENSSSCG00000000033,2,lps,6,5.907816502329182,51.92530479175988,39.68856540123076,,,,,,,False
ENSSSCG00000000033,3,unst,0,4.451327213395516,759.8695790524245,739.8897514515627,,,,,,,False
ENSSSCG00000000033,3,lps,2,4.923046158238845,39.91993642936679,37.69182739415397,,,,,,,False
ENSSSCG00000000033,3,lps,4,3.2064530315677486,4.3618251092206455,9.737512254251865,3.2064530315677486,2.5752918964686464,4.130031609946731,2.2324398641447885,1.4133223686813323,3.3084841325227523,True
ENSSSCG00000000033,3,lps,6,9.920323410872854,221.01781844373247,90.64205722527736,,,,,,,False
ENSSSCG00000000035,1,unst,0,0.2765104434008795,0.5667840473167175,1.2165268444092334,0.2765104434008795,0.10540809776867044,0.5733677956453904,2.14636747482316,0.8256501671330917,6.398083234982955,True
ENSSSCG00000000035,1,lps,2,1.9920966222705165,20.100803315511225,3.143480251194949,,,,,,,False
ENSSSCG00000000035,1,lps,4,0.001,410.7652933069039,1.0,,,,,,,False
ENSSSCG00000000035,1,lps,6,0.001,413.5588972328698,1.0,,,,,,,False
ENSSSCG00000000035,2,unst,0,1.1429373590649072,387.93998054764506,144.08957070766644,,,,,,,False
ENSSSCG00000000035,2,lps,2,1.6713299052199733,42.7678445278149,8.500799150254004,,,,,,,False
ENSSSCG00000000035,2,lps,4,1.5684087475911805,169.01742355332593,26.1029470008798,,,,,,,False
ENSSSCG00000000035,2,lps,6,140.63279056292683,543.4638034889487,1.0003579368835724,,,,,,,False
ENSSSCG00000000035,3,unst,0,0.5707792391544211,1.2364860619908489,1.0,,,,,,,False
ENSSSCG00000000035,3,lps,2,2.804900475971373,19.96901185438789,1.7184007376378239,,,,,,,False
ENSSSCG00000000035,3,lps,4,2.2281751015293203,13.526312366245778,1.0,,,,,,,False
ENSSSCG00000000035,3,lps,6,4.919718063794082,34.80459961036045,1.0065086892260273,,,,,,,False
ENSSSCG00000000039,1,unst,0,0.016715599528556318,460.52911439014116,47.425715508209414,,,,,,,False
ENSSSCG00000000039,1,lps,2,0.04341677118731554,256.5305868406895,31.027725148063716,,,,,,,False
ENSSSCG00000000039,1,lps,4,1.1946562622802743,463.75157461891047,1.0,,,,,,,False
ENSSSCG00000000039,1,lps,6,3.038278717571753,532.6485774907399,1.0,,,,,,,False
ENSSSCG00000000039,2,unst,0,0.014651096282115446,484.8056733690419,98.98754168987055,,,,,,,False
ENSSSCG00000000039,2,lps,2,0.7322917440323962,392.772085994584,1.0,,,,,,,False
ENSSSCG00000000039,2,lps,4,0.03705832755759081,405.0496235913679,42.58711942652195,,,,,,,False
ENSSSCG00000000039,2,lps,6,0.8974785102213297,308.4486076906576,1.0,,,,,,,False
ENSSSCG00000000039,3,unst,0,0.21567206539305467,469.4944556361815,1.0001957650074462,,,,,,,False
ENSSSCG00000000039,3,lps,2,0.0081472605379459,639.7407145810995,235.42922217887835,,,,,,,False
ENSSSCG00000000039,3,lps,4,0.013068596512114809,594.4264180514668,73.60259280608938,,,,,,,False
ENSSSCG00000000039,3,lps,6,0.7369006119771772,187.9387219689154,1.0,,,,,,,False
ENSSSCG00000000059,1,unst,0,0.19930508910066225,0.2645183556518005,1.0,,,,,,,False
ENSSSCG00000000059,1,lps,2,1.7802993542766867,48.993911680180645,9.15028013337968,,,,,,,False
ENSSSCG00000000059,1,lps,4,0.001,406.0867616115138,1.0,,,,,,,False
ENSSSCG00000000059,1,lps,6,0.001,409.6590749011375,1.0,,,,,,,False
ENSSSCG00000000059,2,unst,0,0.1544722808206623,0.13631823964169618,1.0015861934578332,0.1544722808206623,0.060294861941396924,0.6501203618880647,7.347411440247752,1.1741506389332288,19.95103147657847,True
ENSSSCG00000000059,2,lps,2,1.5621913811409929,272.69827477136704,66.2421066786721,,,,,,,False
ENSSSCG00000000059,2,lps,4,0.6487287604659131,1.581169441721034,1.0,,,,,,,False
ENSSSCG00000000059,2,lps,6,3.2408770546465515,365.1668069676088,33.748742950899796,,,,,,,False
ENSSSCG00000000059,3,unst,0,1.0517530570088587,30.758463825856804,13.200574465453402,,,,,,,False
ENSSSCG00000000059,3,lps,2,0.7181619946142545,2.0863617672340444,1.0,,,,,,,False
ENSSSCG00000000059,3,lps,4,0.8169100233316439,3.807813937285108,1.0,,,,,,,False
