gene,in_subset
ENSMUSG00000010277,False
ENSMUSG00000010307,False
ENSMUSG00000010358,False
ENSMUSG00000010392,False
ENSMUSG00000010406,False
ENSMUSG00000010609,False
ENSMUSG00000010663,False
ENSMUSG00000010914,False
ENSMUSG00000011008,False
ENSMUSG00000011179,False
ENSMUSG00000011884,False
ENSMUSG00000012350,False
ENSMUSG00000012422,False
ENSMUSG00000012428,False
ENSMUSG00000013076,False
ENSMUSG00000013150,False
ENSMUSG00000013584,False
ENSMUSG00000013622,False
ENSMUSG00000013646,False
ENSMUSG00000013662,False
ENSMUSG00000013707,False
ENSMUSG00000013736,False
ENSMUSG00000013846,False
ENSMUSG00000014349,False
ENSMUSG00000014554,False
ENSMUSG00000014601,False
ENSMUSG00000014748,False
ENSMUSG00000014778,False
ENSMUSG00000014850,False
ENSMUSG00000014956,False
ENSMUSG00000015112,False
ENSMUSG00000015120,False
ENSMUSG00000015143,False
ENSMUSG00000015243,True
ENSMUSG00000015290,False
ENSMUSG00000015305,False
ENSMUSG00000015314,False
ENSMUSG00000015316,False
ENSMUSG00000015337,False
ENSMUSG00000015340,False
ENSMUSG00000015396,False
ENSMUSG00000015474,False
ENSMUSG00000015488,False
ENSMUSG00000015501,False
ENSMUSG00000015542,False
ENSMUSG00000015652,False
ENSMUSG00000015668,False
ENSMUSG00000015697,False
ENSMUSG00000015711,False
ENSMUSG00000015745,False
ENSMUSG00000015755,False
ENSMUSG00000015766,False
ENSMUSG00000015804,False
ENSMUSG00000015837,True
ENSMUSG00000015839,False
ENSMUSG00000015889,False
ENSMUSG00000015943,False
ENSMUSG00000015961,False
ENSMUSG00000015971,False
ENSMUSG00000016018,False
ENSMUSG00000016239,False
ENSMUSG00000016253,False
ENSMUSG00000016256,False
ENSMUSG00000016487,False
ENSMUSG00000016496,False
ENSMUSG00000016503,False
ENSMUSG00000016528,False
ENSMUSG00000016529,True
ENSMUSG00000016552,False
ENSMUSG00000016554,False
ENSMUSG00000016831,False
ENSMUSG00000016921,False
ENSMUSG00000016933,False
ENSMUSG00000016940,False
ENSMUSG00000016984,False
ENSMUSG00000017009,True
ENSMUSG00000017119,False
ENSMUSG00000017132,False
ENSMUSG00000017144,False
ENSMUSG00000017146,False
ENSMUSG00000017264,False
ENSMUSG00000017418,False
ENSMUSG00000017428,False
ENSMUSG00000017493,False
ENSMUSG00000017561,False
ENSMUSG00000017631,False
ENSMUSG00000017639,False
ENSMUSG00000017652,True
ENSMUSG00000017664,False
ENSMUSG00000017670,False
ENSMUSG00000017715,False
ENSMUSG00000017737,False
ENSMUSG00000017756,False
ENSMUSG00000017802,False
ENSMUSG00000017830,False
ENSMUSG00000017843,False
ENSMUSG00000017929,False
ENSMUSG00000018008,False
ENSMUSG00000018040,False
ENSMUSG00000018076,False
ENSMUSG00000018160,False
ENSMUSG00000018167,False
ENSMUSG00000018169,False
ENSMUSG00000018293,True
ENSMUSG00000018334,False
ENSMUSG00000018395,False
ENSMUSG00000018401,False
ENSMUSG00000018417,False
ENSMUSG00000018474,False
ENSMUSG00000018481,False
ENSMUSG00000018500,False
ENSMUSG00000018509,False
ENSMUSG00000018659,False
ENSMUSG00000018669,False
ENSMUSG00000018678,False
ENSMUSG00000018736,False
ENSMUSG00000018796,True
ENSMUSG00000018809,False
ENSMUSG00000018821,False
ENSMUSG00000018846,False
ENSMUSG00000018861,False
ENSMUSG00000018899,False
ENSMUSG00000018909,False
ENSMUSG00000018916,False
ENSMUSG00000018920,False
ENSMUSG00000018930,True
ENSMUSG00000018995,False
ENSMUSG00000019039,False
ENSMUSG00000019055,False
ENSMUSG00000019066,False
ENSMUSG00000019088,False
ENSMUSG00000019132,True
ENSMUSG00000019189,False
ENSMUSG00000019210,False
ENSMUSG00000019471,False
ENSMUSG00000019478,False
ENSMUSG00000019528,False
ENSMUSG00000019558,True
ENSMUSG00000019659,False
ENSMUSG00000019726,False
ENSMUSG00000019763,False
ENSMUSG00000019777,False
ENSMUSG00000019782,False
ENSMUSG00000019794,False
ENSMUSG00000019795,False
ENSMUSG00000019796,False
ENSMUSG00000019817,False
ENSMUSG00000019818,False
ENSMUSG00000019822,False
ENSMUSG00000019823,False
ENSMUSG00000019832,False
ENSMUSG00000019842,False
ENSMUSG00000019850,True
ENSMUSG00000019854,False
ENSMUSG00000019857,False
ENSMUSG00000019861,False
ENSMUSG00000019868,False
ENSMUSG00000019897,False
ENSMUSG00000019907,False
ENSMUSG00000019916,False
ENSMUSG00000019920,False
ENSMUSG00000019966,False
ENSMUSG00000019975,False
ENSMUSG00000020018,False
ENSMUSG00000020021,False
ENSMUSG00000020032,False
ENSMUSG00000020038,False
ENSMUSG00000020057,False
ENSMUSG00000020077,True
ENSMUSG00000020089,False
ENSMUSG00000020091,False
ENSMUSG00000020100,False
ENSMUSG00000020101,False
ENSMUSG00000020102,False
ENSMUSG00000020115,False
ENSMUSG00000020121,False
ENSMUSG00000020122,False
ENSMUSG00000020143,False
ENSMUSG00000020152,False
ENSMUSG00000020178,False
ENSMUSG00000020180,False
ENSMUSG00000020186,False
ENSMUSG00000020205,False
ENSMUSG00000020224,False
ENSMUSG00000020227,False
ENSMUSG00000020228,False
ENSMUSG00000020248,False
ENSMUSG00000020250,False
ENSMUSG00000020253,False
ENSMUSG00000020261,False
ENSMUSG00000020263,False
ENSMUSG00000020271,False
ENSMUSG00000020275,False
ENSMUSG00000020277,False
ENSMUSG00000020300,False
ENSMUSG00000020309,False
ENSMUSG00000020340,False
