param,gene,a,b,c,r2
bs_point,ENSMUSG00000000184,0.4753148029459827,2.471525704202946,2.456638671073556,0.2479186070680549
bs_point,ENSMUSG00000000982,3.324879208426191,0.5463992309783692,-1.24038223116527,0.8335709970600751
bs_point,ENSMUSG00000001131,-269.7971034170045,0.0017174242810671142,271.85537072186577,-0.02098245319343195
bs_point,ENSMUSG00000002602,0.7226758203204207,4.9851732426335404,1.6570901511864502,0.17437221863300423
bs_point,ENSMUSG00000003541,4163.512338095157,-0.00019158674342906778,-4160.686414542043,0.0635608774174442
bs_point,ENSMUSG00000003882,7.989063987263701e-07,9.111140415389752,2.040240009838312,-0.2792719535977424
bs_point,ENSMUSG00000004296,6.184667480722988,0.4903883758065458,2.098974235071705,0.6404678507941994
bs_point,ENSMUSG00000005087,0.6752813245158323,0.5466073206068784,0.5101182059172854,0.18996668618661605
bs_point,ENSMUSG00000006818,0.005169524098442127,2.24983167639074,2.116727468845214,0.7316332765892315
bs_point,ENSMUSG00000007655,6.926300526399619,0.1552636009179144,-4.512518372266693,0.6700223921063375
bs_point,ENSMUSG00000015243,0.2678885256266092,1.3532120743409946,1.300508082222738,0.07595726535002811
bs_point,ENSMUSG00000015837,5.801570264967096e+42,-183.50799640592473,1.9629229937700807,0.24352021211188735
bs_point,ENSMUSG00000016529,0.0001075619066153676,-2.5209296731737427,5.735210812909328,0.017631864783751006
bs_point,ENSMUSG00000017009,6.913203258556039,0.29631789502251826,-4.781515621544678,0.6367708960553757
bs_point,ENSMUSG00000017652,1611.2451005190544,0.00013578983158700735,-1608.6739418176064,0.04771717529123143
bs_point,ENSMUSG00000018293,2.0260170664521496e-06,4.536070227688045,2.0203727706780192,0.861772932676677
bs_point,ENSMUSG00000018796,1.2971689901635397,-0.598610262449262,1.6863426348007493,0.02797916729392369
bs_point,ENSMUSG00000018930,6.314656369634019,0.45541418152117935,-0.9796289827613034,0.7233959508661816
bs_point,ENSMUSG00000019132,8.413857944025271e-07,7.1686067548941415,1.5539726756915868,0.3387876329279609
bs_point,ENSMUSG00000019558,1836.154844441464,0.0003221992701191882,-1832.683690156887,-0.09773506085999317
bs_point,ENSMUSG00000019850,0.04584578609395105,-3.7772556528476358,1.6639196269893854,0.746045950036718
bs_point,ENSMUSG00000020077,1053.7432523827918,0.0003709229663999738,-1052.0905086999048,-0.0026541502152990226
bs_point,ENSMUSG00000020638,2.802326021493043,0.24931005152519653,-0.02435807653818923,0.4110377755369914
bs_point,ENSMUSG00000020641,16.85653812860773,0.17642596013785553,-11.32072987151168,0.7965119927393813
bs_point,ENSMUSG00000020689,102.34801824155247,1.9642144732297473,2.2588838687126076,0.5237045817456796
bs_point,ENSMUSG00000021025,239.57337902204782,0.0005527743768493255,-237.43606387547734,-0.11109594792004218
bs_point,ENSMUSG00000021127,2.8358352786057704e-10,49.83912760766577,1.803269250080651,0.17197634631030778
bs_point,ENSMUSG00000021250,0.9222270879166218,0.9517761227740277,1.1461262782399848,0.6574558176297911
bs_point,ENSMUSG00000021367,2.241844233579197,1.3654578211244701,2.0589099973803084,-0.1202659706112652
bs_point,ENSMUSG00000022150,5.536763159177584e-05,10.582632484031622,1.8213778005964738,0.3893827330737968
bs_point,ENSMUSG00000022255,28.89019562044998,-3.8141745293846445,1.0556777067227534,0.4777307257783264
bs_point,ENSMUSG00000022661,71.78647684987337,0.0024278643882814535,-69.77172888104602,-0.13273149070125578
bs_point,ENSMUSG00000023809,990.0324087425929,-0.000665822370232966,-988.8219892451071,-0.008253211255840442
bs_point,ENSMUSG00000024014,4731.365867281447,0.0002548708871081184,-4730.440265497456,0.4564179660062446
